1600-100;GENERAL FIRMINO MIGUEL Nº 3 A 5ºA
1600-131;Rua Julieta Ferrão, 12 Sala 903 Torre A
1600-136;ESTRADA DAS LARANJEIRAS 122
1600-160;ESTRADA DA LUZ N.90 10H Nº90
1600-166;R.MANUEL DA SILVA LEAL,6B ESCIT-4
1600-171;PRAÇA NUNO RODRIGUES DOS SANTOS N7 A
1600-205;Av. da Republica 76
1600-209;R.TOM.FONSECA,TORRE E-11º
1600-214;ALAM.UNIVERSIDADE - FACULDADE LETRAS CV
1600-222;Rua Virgílio Correia, 3 A - R/C LISBOA
1600-224;RUA VIRGILIO CORREIA Nº14 D
1600-232;RUA POETA BOCAGE Loja 3
1600-299;AZINHAGA DA TORRE DO FATO 29
1600-404;R.ACT.ANT.SILVA,2-4
1600-451;Rua Fernando Namora, 35 D
1600-477;R. HERMANO NEVES 22 - 3º B
1600-485;POLO TECN. LISBOA
1600-510;"Rau Laura Ayres, 3"""""
1600-545;EST.PACO LUMIAR,LT.4
1600-546;RUA CARLOS ALVES  nº 1
1600-548;Rua Padre Américo 17 B 1º Dto
1600-581;RUA POETA BOCAGE, 20A
1600-586;LARGO DA PRAÇA 12
1600-612;Rua Professor Dias Amado,1 A/D LISBOA
1600-616;R.PRF.F.FONSECA-ALVALADE XXI
1600-673;R. PROF.VIRGINIA RAU, LT-H6 LOJA-F
1600-678;AVENIDA RAINHA D AMELIA 20
1600-757;ALAMEDA DE ROENTEGEN Nº7D ESCR.1
1600-759;ALAM. ROENTGEN, N.º 4-A, ESC. 6, SALA 2
1600-776;RUA PROJ. AZ. ULMEIROS
1600-794;ESCRITORIO 1 - R.AUGUSTO MACEDO, n.10C
1600-873;Av. Alvaro Pais 2
1600-875;Rua Antonio Quadros nº 9 B
1649-003;AV.PROF.GAMA PINTO
1649-011;AV.5 OUTUBRO,323
1649-031;R.SOEIRO PEREIRA GOMES,LT.1
1649-038;EST.PACO LUMIAR,22-ED.F
1649-873;Av. Álvaro Pais 2, N.º 2
1675-000;ESTRADA PAIÃ, LOT 8, PORTO PINHE RO
1675-043;RUA DA LIBERDADE, 44 R/C
1675-076;AVENIDA JOSÉ FRANCISCO GUERREIRO LOTE1
1675-078;ESTRADA DA PAIÃ, PAIÃ PARK, ARM. B5
1675-124;RUA HEROISD E MUCABA, N20 LJ A
1675-184;AVENIDA 25 DE ABRIL Nº17 A
1675-185;Avenida 25 de Abril 35
1675-190;R. QTA. DAS LAMAS, PARQUE APLINDUSTRIA
